,0,1,2,3,4,5,6,7,8,9,10
0,H1,0.01681857440820965,0.2502276754099324,0.40563315733383165,HDAM,0.8522080541747712,0.0372908119637357,0.2992125984251968,0.47450980392156855,0.6399999999999999,0.41666666666666674
1,H102,0.0022811285206894637,0.07591278852519578,0.7811308986314746,HDAM,0.06609754340465383,0.13770159545586713,0.17322834645669288,0.08431372549019606,0.72,0.41666666666666674
2,H1020,0.013503646638888435,0.20094630770010657,0.8369284004705257,HDAM,0.04174771270081406,0.10883778361030737,0.22834645669291337,0.17647058823529405,0.5999999999999999,0.29166666666666674
3,H1021,0.01149101996601488,0.21991799374875365,0.8382461968352533,HDAM,0.08173042288019594,0.04571231228424627,0.22834645669291337,0.17647058823529405,0.5999999999999999,0.29166666666666674
4,H1022,0.024132645001467327,0.2133411628216877,0.8352279876217025,HDAM,0.06444060226208485,0.07581021433411704,0.22834645669291337,0.17647058823529405,0.5999999999999999,0.29166666666666674
5,H1023,0.0011326466318001853,0.21081158444540282,0.835865639251753,HDAM,0.05975794251134644,0.11781222121764692,0.22834645669291337,0.17647058823529405,0.5999999999999999,0.29166666666666674
6,H103,0.03612933030892928,0.1326002471479486,0.8254272820678256,HPHS,0.42532958720553277,0.17004517045200268,0.2992125984251968,0.16470588235294115,0.47999999999999976,0.25
7,H65,0.008195771695630882,0.2867110472583181,0.5421569219341729,HPHS,0.27516029104531375,0.17988262114330783,0.6771653543307086,0.46470588235294114,0.32000000000000006,0.20833333333333326
8,H1035,0.009649481110886522,0.21523833142655246,0.8353342713953994,HDAM,0.06876305741661264,0.08422374797530374,0.22834645669291337,0.17647058823529405,0.5999999999999999,0.29166666666666674
9,H1036,0.04594614625419348,0.22307995154176052,0.8383737271612633,HDAM,0.0943375837475686,0.06669824006516582,0.22834645669291337,0.17647058823529405,0.5999999999999999,0.29166666666666674
10,H1045,0.014412757264588568,0.25619177551608274,0.46859994734017774,HPHS,0.3537929543980981,0.17258415956348505,0.6062992125984252,0.44901960784313716,0.4399999999999997,0.29166666666666674
11,H1048,0.001358161612535576,0.7892203486965539,0.6157695431106193,HDAM,0.1040631078452561,0.058805460460969294,0.4881889763779527,0.1333333333333333,0.11999999999999988,0.125
12,H105,0.008638796119897967,0.21647567996799388,0.3618989275745331,HDAM,0.1722138174483106,0.09007109977690675,0.48031496062992124,0.3607843137254901,0.5999999999999999,0.5
13,H1055,0.0003370377458121458,0.9191131692945234,0.8983767455490195,HDAM,0.08929471940061955,0.17504939958563676,0.5669291338582676,0.24509803921568624,0.039999999999999813,0.0
14,H1057,0.001891907209904543,0.6945933426684114,0.539900527876076,HPHS,0.12639579281031624,0.06778933181793223,0.5511811023622046,0.30588235294117644,0.07999999999999985,0.04166666666666674
15,H1064,5.7879478376198184e-05,0.6230579140312467,0.5324249297199503,HDAM,0.015452777177436781,0.11758853109298963,0.5511811023622046,0.30588235294117644,0.07999999999999985,0.04166666666666674
16,H107,0.001992495416361926,0.3574980808242392,0.5785285709122558,HDAM,0.11216771125999567,0.13457636431323095,0.4015748031496063,0.12352941176470583,0.32000000000000006,0.125
17,H1070,0.0033925626067113457,0.22014313454142997,0.2727618612704199,HDAM,0.14307326561486922,0.06768550272097915,0.5984251968503937,0.4529411764705881,0.6799999999999999,0.41666666666666674
18,H144,0.07993589476438631,0.5896618425969293,0.1021989263425904,HPHS,0.007888480657013183,0.08860533883581669,1.0,0.5862745098039215,0.28,0.29166666666666674
19,H93,0.022695642001912587,0.28042097716021464,0.48882912137650314,HDAM,0.3140623874360637,0.4393527992732459,0.6062992125984252,0.44901960784313716,0.4399999999999997,0.29166666666666674
20,H111,0.009701018498880838,0.2828083437778788,0.522038222318057,HPHS,0.38412218139903465,0.21309494204603638,0.6771653543307086,0.46470588235294114,0.32000000000000006,0.20833333333333326
21,H11,0.012923441889965992,0.2076066140457864,0.7913766850231266,HDAM,0.022188603126575897,0.28133215535190526,0.4094488188976378,0.2509803921568627,0.6399999999999999,0.5
22,H110,0.005215836032011766,0.16523145608752832,0.6973868092476115,HDAM,0.22862185721489803,0.27137297515663433,0.5511811023622046,0.43725490196078426,0.47999999999999976,0.25
23,H1118,0.0220603879198079,0.13075765628950853,0.8179565555701535,HDAM,0.6764282112239751,0.01905894172346804,0.2992125984251968,0.16470588235294115,0.47999999999999976,0.25
24,H324,0.01750952449847802,0.5594938414871615,0.09530116809361626,HDAM,0.09595850443051653,0.03514332405832586,1.0,0.5862745098039215,0.28,0.29166666666666674
25,H188,0.022776274844328787,0.2806173113447952,0.4686579047721363,HDAM,0.35879979828542613,0.003302682096906241,0.6062992125984252,0.44901960784313716,0.4399999999999997,0.29166666666666674
26,H1133,0.0009163219167373971,0.8692784354460306,0.6389137976870641,HDAM,0.17250198112527912,0.0449731292062108,0.4881889763779527,0.1333333333333333,0.11999999999999988,0.125
27,H114,0.009514426864062757,0.22416998873537142,0.38800030433837,HDAM,0.39345148044089046,0.10055194668652427,0.2992125984251968,0.47450980392156855,0.6399999999999999,0.41666666666666674
28,H1150,0.0002203010917541125,0.30389933410899705,0.9112148153714137,HDAM,0.030221165622073335,0.018367187658460613,0.2677165354330709,0.1392156862745098,0.4399999999999997,0.29166666666666674
