annual_gwh,latitude,longitude,altitude
28.0,44.982917,24.742082999999997,324.0
26.0,45.082917,24.662917,379.0
45.0,46.292293,9.365335,320.7
66.0,46.146389,9.300937,232.6
42.0,58.560479,15.082435,86.5
36.0,45.79375,24.595417,398.5
39.0,45.745416999999996,24.39125,378.0
37.0,45.77875,24.512917,388.0
33.0,45.80875,24.749582999999998,410.5
29.0,45.835417,24.860417,417.0
71.3,40.26653611,20.52168611,529.1
430.0,44.2007328,15.6811168,5.0
48.0,40.23,-7.39,644.0
40.0,40.23,-7.41,642.0
931.0,63.5493995,16.7128525,286.6
51.0,66.492336,26.128326,91.6
723.0,52.6564,19.1339,52.1
300.0,46.39734,5.66556,398.8
25.0,45.057916999999996,23.267917,214.0
49.98,40.3098,20.47698056,600.1
322.6,46.8761153436,8.98702934899,980.8
261.8,46.6168313031999,8.30758712831,1307.2
1510.0,42.009997999999996,19.625,30.0
31.3,67.636463,26.781734999999998,194.7
52.0,46.932916999999996,26.337916999999997,318.5
1147.0,66.428961,20.653796,60.5
27.0,47.235001000000004,12.058,1284.6
75.0,56.401001,-4.122,315.9
30.0,45.249583,25.735417,632.2
50.0,40.96899722,20.51337222,505.7
1850.0,39.730301000000004,-6.8849,219.3
825.0,56.7405,24.7113,32.1
19.0,41.34,-8.11,393.0
30.0,62.590858999999995,16.406570000000002,223.7
388.505,40.127148,9.140644,352.0
23.0,61.490515,14.712678,412.5
610.7,41.1605,-7.3742,101.2
60.0,57.382,-4.881,698.0
291.0,42.233002,23.950001,381.0
310.0,45.412690000000005,2.4986200000000003,445.9
27.0,65.6833333,18.1666667,420.0
87.0,57.155998,-4.936,169.6
12.7,42.6125,25.3198,364.0
11.0,62.825417,29.475416999999997,90.0
154.0,42.11625,-7.212083,870.0
78.0,57.077999,-4.781000000000001,199.2
58.0,57.382,-4.881,698.0
38.3,47.3158445,13.1409435,593.8
25.82,39.9169,20.1374,66.8
4.524,45.304985200000004,14.7148369,721.4
273.0,45.161887,7.008396,621.6
24.32,45.6143,15.4778,122.6
388.0,45.923109000000004,10.628414,489.8
59.0,57.382,-4.881,698.0
121.0,57.6166,-4.76,120.6
113.0,42.628502000000005,-7.7122,229.6
67.0,47.321488,13.174577,576.0
1650.0,63.14623,16.0706,194.1
23.3,40.92728056,20.22091667,258.4
560.0,46.6679,23.059,977.1
488.0,46.5901915364999,9.421427226210001,1053.2
80.0,57.775002,-4.955,472.0
87.0,57.155998,-4.936,169.6
130.0,65.93956,25.043108,45.0
16.317,41.0057,20.425,706.9
71.0,56.509997999999996,-4.228,271.8
29.0,57.155998,-4.936,169.6
36.0,56.345001,-5.13,36.0
400.0,45.3667,24.6307,797.5
19.3,40.11119167,19.87758889,183.1
1002.2,45.009997999999996,14.892999999999999,24.2
60.0,56.699001,-4.408,269.2
42.0,57.5851,-4.5397,93.6
26.0,56.509997999999996,-4.228,271.8
26.0,58.188999,-4.734,100.0
10.118,40.76601389,20.39604444,1011.0
22.0,56.014998999999996,-5.121,8.0
490.09,54.797866000000006,24.248169,38.2
11.6,40.13735833,20.55160556,400.6
760.0,66.976846,18.573706,459.6
9.57,40.65228889,20.24792778,457.6
710.0,46.201029,12.302334,400.9
7.5,41.44522,20.5049,671.3
661.0,65.127297,19.467367000000003,310.4
8.69,46.56087,15.67309,253.1
590.0,43.448002,17.837,95.2
59.0,46.745776,15.571428,407.2
434.0,46.9386,26.1029,1415.9
1310.0,44.328998999999996,22.528000000000002,26.0
4.0,52.762083,-8.477083,330.2
968.0,64.000342,19.566667000000002,1041.2
4.74,46.38817,15.9264799999999,449.4
1690.0,45.202,6.585,37.2
806.1,41.0849,-8.1306,313.3
21.0,56.682999,-4.513,761.1
366.0,40.395419,19.805764,26.0
400.0,62.46369,13.080910000000001,290.9
850.0,48.51955,13.708869,284.4
1386.0,56.583,25.2394,377.6
220.0,41.693191999999996,-8.027951,-1.9
326.0,42.8211,0.010329999999999999,517.0
422.0,42.159,23.871,405.6
408.4,41.1343,-7.1141,507.0
185.0,46.08412,13.667570000000001,71.4
518.4,46.2302203342,7.85719305844,144.5
2150.0,66.88530899999989,19.818399,939.6
870.0,66.2682205,20.8259525,169.2
500.0,42.734001,18.497,128.9
700.0,41.271328000000004,-6.320278,223.1
983.0,62.983391000000005,17.866538000000002,418.9
790.0,66.80939000000001,19.896293,193.2
230.0,41.209099,-7.0489999999999995,55.1
632.0,64.360001,24.409000000000002,103.0
523.0,46.304613,9.376503,358.0
321.0,46.401001,8.551,624.0
106.0,46.464001,8.546,672.3
350.0,41.771,20.84,455.9
650.0,43.757,17.743,391.5
1215.0,58.2802,12.278516499999899,343.3
