plant_id,gwh_per_mm3,grade,latitude,longitude,type,altitude_m,nearest_lake_dist_km,days_of_rain,avg_daily_temp,min_daily_temp,max_daily_temp,sea_level_pressure,global_radiation,rainfall,50m_gradient,100m_gradient,500m_gradient
H215,7.05774647887324,2,45.009997999999996,14.892999999999999,HDAM,24.2,19.023055177680824,115,0.0,0.0,0.0,0.0,0.0,0.0,11.5,26.1,160.0
N660,0.15723076923076926,0,60.10165,6.913308,HDAM,1200.0,0.8871120100673479,113,-0.6203013581721342,-2.9044930656019545,1.8712602214913248,1010.7416564105307,81.1123287671233,3.8556165019943287,8.2,16.5,90.1
H549,9.232323232323234,2,66.155998,25.125,HDAM,40.0,7.740202889399039,115,2.03734242808431,-2.055534194736448,5.873260128278643,1008.7526161507384,94.88493150684931,1.3389041255598202,2.0,2.0,7.0
N717,0.5909090909090909,0,58.662011,8.062453999999999,HDAM,211.2,0.3629755267352729,113,5.186438231925441,2.013479413826988,9.308355947941132,1011.1090541055758,89.55342465753425,4.081917851265163,22.3,45.3,273.0
N34,0.4609723273415327,0,59.35312800000001,7.247816999999999,HDAM,913.6,3.112441230256877,113,1.8069588718655167,-1.7625752870963045,5.385260160109158,1011.2813826051475,78.85205479452055,4.029315143905274,13.4,26.1,127.0
N104,4.966358078602621,2,60.80433100000001,7.378572,HDAM,1074.7,1.6609404037624027,113,1.1277807918313432,-1.601616407451156,4.122958826937087,1010.4734383360981,83.65205479452055,4.209589096781325,29.8,71.6,394.0
N441,2.2796642335766424,1,61.240405,10.058534,HDAM,343.7,4.812180393259493,113,2.421205427461904,-1.0391506610259618,6.280575224282602,1010.433438402986,92.24931506849316,2.2364383968588424,8.2,25.2,167.0
N68,1.0864572727272728,0,60.243793999999994,8.701658,HDAM,905.7,5.742452897806307,113,2.0625478969197966,-1.35399997724756,5.717561527596763,1010.8594639608303,92.77808219178085,2.312876755407412,6.2,13.0,79.2
N297,0.6575172054223148,0,60.978203,6.5160919999999996,HDAM,867.4,0.5424760567309332,113,0.8122191660616496,-1.0847945063081506,3.31895883111921,1010.3682332914168,81.4876712328767,7.268493294715881,18.3,27.7,98.1
N518,0.263752,0,63.027127,11.700280000000001,HDAM,531.0,1.1972753104772158,113,1.521725994088266,-2.1089588613542802,5.42304098240725,1009.3397387360874,92.71506849315071,2.7249315495360387,4.0,8.9,81.5
N588,0.4285610687022901,0,69.829488,25.167115,HDAM,75.3,2.4122136963648355,115,0.15460275964785927,-3.610657470168112,4.013205392699535,1008.0164507304152,87.02191780821917,1.5509589276901663,13.9,20.3,68.6
N433,0.4509729119638826,0,61.16328299999999,7.750692,HDAM,986.1,1.3932354109400706,113,-1.2252328418297311,-3.8429314248416935,1.8963835132193485,1010.6156308526863,85.86301369863014,3.0112329280539734,15.1,30.6,202.0
H907,3.5,1,44.682916999999996,24.292082999999998,HDAM,145.0,4.563701941580384,72,12.78975312979254,6.969123148402735,18.670081783065648,1016.8580966061107,166.82739726027398,1.5476712527340406,0.0,0.0,1.0
N365,0.2670666666666667,0,58.662372999999995,6.6178669999999995,HDAM,356.3,1.3472503668232407,113,5.16191767591932,2.0888218823207976,8.812383357976401,1011.3805612224423,80.0931506849315,7.839178225438888,10.1,27.1,127.0
N532,2.0212234042553194,1,58.358825,6.300171,HDAM,80.2,3.1471875795181705,113,7.2310135336363155,4.613479352630165,10.091287462699087,1011.2608363321384,84.12602739726026,7.536986430867077,7.9,10.3,49.5
H1,3.5,1,46.0731,7.4034,HDAM,2364.0,1.4817126922176032,81,0.2245205550518346,-2.7525204941732424,3.1133424022834597,1018.8353557429899,164.84931506849315,4.397808307817537,22.9,67.9,325.0
H812,0.8909090909090909,0,44.26625,24.400417,HDAM,89.0,5.954875564866907,72,12.883506536728715,7.059342315588912,18.734520082645226,1016.7222042554048,168.07945205479453,1.5358904449907067,0.0,0.0,6.0
H297,0.8412698412698413,0,46.464001,8.546,HPHS,672.3,2.3390389613534146,125,2.382657483771239,-1.0081917480144598,5.647780684779768,1018.7123426463504,156.53972602739725,4.426027471725255,29.5,52.7,216.0
N586,0.570377358490566,0,70.657935,23.714418,HDAM,17.4,0.5319176296090338,115,2.073588993936165,-0.32156163924565057,4.600821816109836,1006.6994635595032,85.55068493150684,2.8260274418412816,11.3,25.0,107.0
N219,4.466450867052023,1,60.440008999999996,5.8607059999999995,HDAM,237.1,0.7008269096663654,113,4.3747396240087415,1.8846848826498201,7.504328604864135,1010.3339862144156,79.32328767123288,11.315890562697632,21.6,39.6,212.0
H3306,0.907715582450832,0,44.3938,8.2787,HDAM,330.5,12.25810869263067,81,13.032273676746511,8.315123101226883,17.94564346026068,1017.7074113401648,169.75616438356164,1.6704109910416276,10.5,26.0,62.8
N210,4.299392293114339,1,62.500671,7.776139,HDAM,236.3,2.358201253329038,113,4.408109480877445,1.4352876385393207,8.28304090924459,1008.9912450502997,89.52328767123288,4.587945304178212,74.2,154.0,638.0
N99,7.190215789473685,2,60.507420999999994,7.1407050000000005,HDAM,674.0,1.8048537517229908,113,0.7399725881341386,-1.8697807862589213,3.57353417506467,1010.7657671366652,82.81917808219178,4.147123381781252,29.1,64.7,234.0
N147,7.416874285714287,2,62.232416,7.430165,HDAM,177.1,2.080748702971545,113,1.2956712054624542,-0.9817534066532572,4.824821823447534,1009.1432996776006,86.56164383561644,3.957260353107975,46.9,121.0,661.0
N565,0.3345481481481481,0,68.92748900000001,15.776553,HDAM,21.0,1.99012529317048,105,3.9744108605823696,1.8506027124158733,6.383068359913688,1006.6980958703447,90.16986301369863,3.0871233456755336,3.0,6.3,48.9
N553,0.7882352941176469,0,68.362655,14.930794,HDAM,5.8,1.3069577438081972,113,3.717835536833904,1.7235616089699608,6.081972453304349,1006.9112453512953,89.63287671232875,6.818082311790284,8.5,12.6,214.0
H103,7.513346557098331,2,42.198002,23.862,HPHS,1178.9,6.151777853828534,81,7.976958736511942,2.9835067775151503,12.949150366831107,1017.0435739177548,169.56438356164384,1.9463014034375752,8.6,45.7,213.0
H1048,0.2868686868686869,0,63.82958299999999,15.642083,HDAM,287.0,2.238560237980974,105,2.8143012865765447,-0.991479409399302,6.773260111642416,1008.5967261745508,91.76164383561644,1.7504109839870503,0.6,1.0,3.0
N47,0.7848877333333333,0,59.779587,7.728817999999999,HDAM,838.4,2.1933994786965894,113,1.2186027172544642,-1.9778081512206216,4.885890307098832,1010.735081502836,82.96164383561644,2.633698679731317,26.6,49.9,280.0
N425,1.6484052631578947,0,61.675014000000004,5.783222,HDAM,130.1,2.2586763874532463,113,4.911780711008261,2.6025752786291787,8.087123111946738,1009.4183680704197,81.6082191780822,9.546849499989863,16.1,34.3,159.0
H1484,0.16,0,60.0833333,13.983333300000002,HDAM,338.0,0.8229979777898067,113,4.63347934575828,0.3252876726374643,8.970958712753163,1010.2106970382064,100.51780821917808,2.091232918059989,2.4,6.0,27.0
N615,0.25761290322580643,0,68.174304,17.919127,HDAM,661.0,0.7088660430317736,105,-2.2032602199901863,-4.8919451017851285,1.0046849092596195,1007.0468622913099,89.16164383561646,1.8301370148789395,0.0,0.0,18.5
