,id,gwh_per_mm3,latitude,longitude,type,rainfall,avg daily temp,min daily temp,max daily temp,sea level pressure,global radiation
0,H1,3.5,46.0731,7.4034,HDAM,4.397808307817537,0.2245205550518346,-2.7525204941732424,3.1133424022834597,1018.8353557429901,164.84931506849315
1,H102,0.4786885245901639,40.3305,22.1253,HDAM,1.1567123506167163,14.191177714075128,8.58816417896074,19.539150260245965,1016.1372729157748,185.05753424657533
2,H1020,2.811059907834101,44.449583,24.312917,HDAM,1.5232876970343394,12.840273722883774,7.025177943257436,18.71139682383366,1016.7917950355843,168.586301369863
3,H1021,2.3927765237020315,45.074583,24.364583,HDAM,1.9298630570712154,12.494355891563304,6.656629981013806,18.3916160238524,1016.9301511999679,160.23287671232876
4,H1022,5.020080321285142,44.857917,24.24625,HDAM,1.6758904367277068,12.657150421056846,6.830273815407737,18.54988998972798,1016.9046721157962,163.76164383561644
5,H1023,0.24,44.774583,24.27125,HDAM,1.6284931783806789,12.647616158374776,6.843177947391794,18.52131464349693,1016.879741010274,165.16712328767125
6,H103,7.513346557098331,42.198002,23.862,HPHS,1.9463014034375752,7.976958736511943,2.9835067775151503,12.94915036683111,1017.0435739177547,169.56438356164384
7,H65,1.7079264138087669,47.275002,12.755999999999998,HPHS,3.2112329309933805,4.475972504505556,-0.1113972563500682,9.3152874417603,1019.4854935319456,143.85753424657534
8,H1035,2.010050251256281,44.920417,24.250417,HDAM,1.7375342811623664,12.623616159656276,6.796629982951978,18.534629714101143,1016.9233003799229,162.186301369863
9,H1036,9.553571428571429,45.17875,24.369583,HDAM,1.9367123711599064,12.08783534725439,6.265260148737324,17.974218775148262,1016.9520671687714,158.4082191780822
10,H1045,3.0,46.2695803,9.8720987,HPHS,2.234520577241297,5.757287530519374,1.400356148045561,11.124684675987044,1018.3633029885488,157.0246575342466
11,H1048,0.2868686868686869,63.82958299999999,15.642083,HDAM,1.7504109839870505,2.8143012865765455,-0.991479409399302,6.773260111642415,1008.5967261745506,91.76164383561644
12,H105,1.8,44.96118,5.68874,HDAM,1.981369901846533,10.998218945873111,5.079862883442069,16.823259852561232,1018.6183705787137,170.2164383561644
13,H1055,0.07464892830746489,68.10875,26.722083,HDAM,1.5131507074996218,-0.819643806227266,-5.35726016988493,3.2664930530504823,1008.8822074994649,89.72328767123288
14,H1057,0.397796817625459,60.71220699999989,12.667535,HPHS,2.1271233201026916,3.0829040560820333,-1.1712876469917493,7.751150520436772,1010.6717945673695,95.41917808219178
15,H1064,0.016631578947368417,58.35555600000001,12.374444,HDAM,1.89534250497818,7.698629937918015,3.951835544708453,11.579040852301333,1010.6994653989191,110.35342465753425
16,H107,0.418702023726448,49.606998,14.182,HDAM,1.4841096053384755,9.065972403855357,4.548547859311308,13.963122965497513,1017.6104261424443,129.02739726027397
17,H1070,0.7096774193548387,45.082,2.194,HDAM,2.6169863571859384,11.205670968356403,5.921999857569598,16.44701335283175,1019.4791925299658,154.75616438356164
18,H144,16.61764705882353,57.2553615,-4.493151999999991,HPHS,4.026301426920172,8.551095692486795,4.830575238785719,12.420136709133647,1011.1868620572025,76.88219178082191
19,H93,4.721428571428572,47.067783,10.665211,HDAM,2.02684934678143,4.40663005740267,1.2602191622585874,9.890410710891633,1019.2085061269264,151.06575342465754
20,H111,2.0207612456747404,47.146432,11.967219,HPHS,2.7128767640623326,1.5507396979385042,-2.414767076136315,5.620054667912526,1019.3326181908176,149.14246575342466
21,H11,2.6904761904761907,44.668999,22.527,HDAM,1.2432876921679876,13.391232611963602,7.941095740628773,18.923944777832048,1017.1148093027612,165.58904109589042
22,H110,1.0886075949367089,43.272999,18.841999,HDAM,3.053150750839547,6.48356150351975,1.7889862625004902,11.631670957125008,1016.1241249398009,165.3041095890411
23,H1118,4.589403973509933,42.1373,23.5691,HDAM,2.189863060435204,5.314520428350119,1.0672328536998328,9.607397024088526,1017.1194650310359,173.06027397260274
24,H324,3.6435998766781577,56.261512,-4.763588,HDAM,5.534794626170641,8.53728748929419,4.883917675453098,12.03704081390002,1012.1783704783818,81.41643835616438
25,H188,4.738186462324394,47.074251,9.874371,HDAM,3.723561708649544,3.3376985617747454,-0.9706026988333627,8.246383380522467,1019.3317974769906,149.93972602739726
26,H1133,0.1950413223140496,66.467003,16.549485,HDAM,1.991506869662298,-0.554273991633768,-4.676739609935512,3.360821827072395,1008.1052189239084,89.35616438356165
27,H114,1.981981981981982,45.21466,6.71208,HDAM,3.3846575893767894,5.498273854360801,0.9004109333639275,9.945205269646767,1018.5490553764448,170.36438356164385
28,H1150,0.050387596899224806,47.84125,27.225417,HDAM,1.3747945434426607,11.10890385186019,5.993177975305955,16.32350643075084,1016.8076852458797,148.4794520547945
29,H1154,2.2580645161290325,45.215,2.0380000000000003,HDAM,2.5386301881646456,11.232492864611622,5.965999868471329,16.473506441263304,1019.5052210977633,152.7890410958904
30,H1163,1.9329896907216495,46.457917,26.952083,HDAM,1.432054823392058,11.150218925819004,5.20873960564806,17.12693114032178,1016.8493276099637,152.23013698630137
31,H1200,0.2801120448179272,56.123701,13.11603,HDAM,2.693972657641319,8.577534069559754,5.313890286984101,12.007287393939006,1012.5085042875107,111.75068493150685
32,H1205,0.006999999999999999,62.807917,30.179583,HROR,1.7586301617426414,3.4535067896575553,-0.0062191758457928485,6.826493001377133,1010.0539858465326,9.457534246575342
33,H122,0.6875,40.340285,-8.196778,HPHS,1.8630137203490897,15.923451682312848,9.722766898113163,23.259396701969514,1018.8835753558433,186.1917808219178
34,H123,2.9545454545454546,45.3391,22.7213,HDAM,1.8010959223525165,6.100493012878993,2.1032054204238606,10.35810933984714,1017.1898798694349,158.38082191780822
35,H1233,4.270833333333334,44.407917,24.354583,HDAM,1.5232876970343394,12.840273722883774,7.025177943257436,18.71139682383366,1016.7917950355843,168.586301369863
36,H1234,1.0693069306930694,40.5,-7.51,HDAM,1.736164415372561,15.700547601098883,9.571616228756636,22.894684427078456,1018.8857687754174,192.0246575342466
37,H124,0.7397260273972602,39.1845,21.0255,HDAM,0.6389041223142246,17.325342106655853,12.267068205467643,21.533862504403885,1015.7359048921768,191.7041095890411
38,H1240,0.2878338278931751,64.607742,15.465791,HDAM,2.0147945570619137,1.5021643472809907,-2.5066026811424185,5.367698510276945,1008.5737112384953,89.58356164383562
