plant_id,gwh_per_mm3,latitude,longitude,type,altitude_m,nearest_lake_dist_km,days_of_rain,inches_of_rain,avg_high_temp,avg_low_temp
H1455,1.3453065617327549,57.775002,-4.955,HDAM,472.0,4.089565323127056,170,44.3,54,42
H213,0.8528784648187633,45.3667,24.6307,HDAM,797.5,3.3258028400336874,72,23.4,62,42
H215,7.05774647887324,45.009998,14.893,HDAM,24.2,19.023055177680824,115,53.9,59,43
H22,11.95341463414634,54.797866000000006,24.248169,HPHS,38.2,2.166243624239958,122,26.9,50,36
H222,0.4537313432835821,66.976846,18.573706,HDAM,459.6,3.961826656265589,105,21.2,50,38
H227,52.46031746031746,65.127297,19.467367000000007,HDAM,310.4,2.646236362282119,105,21.2,50,38
H229,8.676470588235292,43.448002,17.837,HDAM,95.2,5.489959804877245,113,36.7,59,41
H230,0.3528455284552845,46.9386,26.1029,HDAM,1415.9,7.630138552173452,72,23.4,62,42
H2328,0.008602150537634409,52.762083,-8.477083,HDAM,330.2,13.749158959886534,129,29.8,56,44
H24,42.78481012658228,45.202,6.585,HPHS,37.2,0.8763787221537251,81,38.6,63,45
H2488,1.7853658536585366,40.395419,19.805764,HROR,26.0,7.91222902606493,98,48.0,70,48
H2490,0.5102040816326531,62.46369,13.08091,HDAM,290.9,1.831208774433288,113,30.0,49,36
H25,2.717647058823529,56.583,25.2394,HDAM,377.6,3.5290852513421362,120,25.0,50,37
H250,2.3887079261672097,41.693192,-8.027951,HPHS,-1.9,2.753897106959639,77,28.6,70,56
H257,5.174603174603175,42.8211,0.01033,HDAM,517.0,9.58819220962915,119,37.5,64,45
H26,4.287048188029344,42.159,23.871,HPHS,405.6,5.669525953890142,81,22.8,59,41
H266,6.6890322580645165,46.2302203342,7.85719305844,HDAM,144.5,17.578140587187633,81,38.6,63,45
H275,57.615894039735096,66.2682205,20.8259525,HDAM,169.2,4.728518315019633,115,26.9,48,35
H277,0.4621072088724584,42.734001,18.497,HDAM,128.9,10.371807197371677,101,65.4,69,51
H28,0.26435045317220546,41.271328,-6.320278,HPHS,223.1,5.696401294776004,63,17.2,67,49
H286,0.36507936507936506,41.209099,-7.049,HPHS,55.1,14.149143534984225,77,28.6,70,56
H289,5.4766031195840545,64.360001,24.409,HDAM,103.0,7.119780622852581,115,26.9,48,35
H296,2.0188679245283017,46.401001,8.551,HDAM,624.0,5.593156409522869,125,41.2,58,40
H297,0.8412698412698413,46.464001,8.546,HPHS,672.3,2.3390389613534146,125,41.2,58,40
H302,1.263537906137184,41.771,20.84,HDAM,455.9,10.420406131660176,65,18.7,65,45
H303,1.3948497854077253,43.757,17.743,HDAM,391.5,9.181575262217915,113,36.7,59,41
H310,0.4393351800554017,39.5429,-8.3188,HDAM,296.7,13.545170784336502,77,28.6,70,56
H313,0.6810543074473729,41.9404,24.27,HPHS,415.8,8.04924450161513,81,22.8,59,41
H319,0.5,64.7506673477997,20.9527945518493,HDAM,915.5,3.19098630055766,115,26.9,48,35
H320,14.11320754716981,63.2411585,15.2339025,HDAM,131.2,0.7765730088227876,105,21.2,50,38
H322,0.7942307692307692,40.0966,21.8039,HDAM,405.0,18.84463226645988,65,18.7,65,45
H3283,1.3194444444444444,40.69398620000001,20.439501,HDAM,521.4,23.19371885795897,98,48.0,70,48
H3306,0.907715582450832,44.3938,8.2787,HDAM,330.5,12.25810869263067,81,38.6,63,45
H3310,1.0,37.829642,14.576644,HDAM,947.4,1.3806833829311298,84,21.8,72,59
H3314,7.1556350626118075,45.433313,7.417422,HDAM,684.2,6.700121804597283,81,38.6,63,45
H3329,2.5943396226415096,42.25183,-8.1419,HPHS,70.0,4.381183273459416,77,28.6,70,56
H3330,1.5741789354473388,40.991739,-8.1419,HDAM,455.4,16.56266846632291,77,28.6,70,56
H334,0.4457142857142857,63.197917,13.50875,HDAM,547.2,2.2334348689299617,113,30.0,49,36
H3408,5.859872611464969,42.6717259,1.7009906000000004,HDAM,1697.8,0.37140208619675497,119,37.5,64,45
H3413,2.8,46.34200870000001,9.3687663,HDAM,545.3,4.979271289659233,120,37.3,58,42
H346,0.44,66.314003,27.190001,HDAM,238.4,3.185317790337851,115,26.9,48,35
H349,0.9209060527292982,49.82354,14.434501,HDAM,255.0,8.802691932680773,94,20.7,55,38
H359,12.857142857142858,66.6313945,19.8198109999999,HDAM,251.5,3.5359114765837845,105,21.2,50,38
H377,7.352941176470589,45.435348,7.418466,HDAM,704.0,6.5009572325042955,81,38.6,63,45
H382,10.3,65.931,24.714001,HDAM,25.7,9.438173199292919,115,26.9,48,35
H384,0.19035202086049546,43.73687,6.1342300000000005,HDAM,466.8,4.182780947604093,53,20.3,68,51
H392,29.078014184397173,65.0222165,19.682859,HDAM,231.0,3.5872459026323837,105,21.2,50,38
H394,3.128555176336746,45.82519600000001,7.333163000000001,HDAM,968.0,14.827413544517391,81,38.6,63,45
H402,0.8240601503759398,64.945753,15.827496,HDAM,397.4,2.325977794889293,105,21.2,50,38
H406,0.9923916639100232,42.0135,24.2579,HDAM,598.9,7.626732514284722,81,22.8,59,41
H409,1.930215293244247,60.95096649999989,12.545216,HDAM,294.8,5.9997744280716905,113,30.0,49,36
H410,2.711621233859397,41.763285,-8.20976499999999,HPHS,492.1,2.5544602152247786,77,28.6,70,56
H42,2.7241379310344827,41.872,-8.2025,HPHS,334.4,4.53306329064198,77,28.6,70,56
H434,0.4836601307189543,48.6333,14.2375,HDAM,719.9,4.372137198943793,94,20.7,55,38
H435,1.5625,46.443064,9.334613,HDAM,1249.0,4.25792667275581,120,37.3,58,42
H439,0.4844961240310077,41.404999,21.936001,HDAM,174.6,6.408422660524082,65,18.7,65,45
H440,4.117647058823529,45.03048,6.07914,HDAM,751.2,5.805004344249261,104,32.8,62,47
H45,10.638297872340424,42.104,19.826,HDAM,106.6,1.7027582162745496,101,65.4,69,51
H456,1.9101123595505616,63.74985,13.54035,HDAM,592.8,3.1957735186752467,113,30.0,49,36
H465,0.8217821782178217,63.344498,13.4603049999999,HDAM,318.0,4.005005966144558,113,30.0,49,36
H47,5.891891891891893,45.68545,6.62248999999999,HDAM,1550.9,0.6172057546426778,81,38.6,63,45
H475,0.495609756097561,39.91727,-8.13243999999999,HDAM,182.2,5.494186651376985,77,28.6,70,56
H477,0.16642120765832105,41.958,0.634,HDAM,699.3,5.963485168795981,119,37.5,64,45
H486,0.2962962962962963,41.63253,25.33801,HDAM,300.9,5.505827761467471,81,22.8,59,41
H496,1.9908256880733943,41.584,26.108,HDAM,110.4,11.141898152206602,72,23.4,62,42
H500,1.1531531531531531,46.349998,8.6,HDAM,582.9,9.315308016225188,125,41.2,58,40
H502,40.74074074074074,64.479423,18.878073,HDAM,204.0,1.2184155058914972,105,21.2,50,38
H513,0.7705627705627706,54.87414,24.0,HDAM,48.5,4.249447386209607,122,26.9,50,36
H515,3.38,66.42400400000001,25.540001,HDAM,74.4,4.079234589997661,115,26.9,48,35
H519,0.33969118982742963,65.095,17.101667000000006,HDAM,354.0,3.178189506473669,105,21.2,50,38
H520,2.1875,62.3833333,17.3166667,HDAM,25.0,2.3884868224748645,105,21.2,50,38
H529,0.6385390428211587,46.175999,8.684,HDAM,696.5,12.215936831353906,83,36.2,64,47
H53,3.3823529411764706,45.446999,23.768,HDAM,1277.2,3.442892220239649,72,23.4,62,42
