plant_id,lake_id,distance_km
H1,170051,1.4817126922176032
H102,172757,5.013987693780773
H1020,171450,3.998609489507692
H1021,171049,1.777966281954076
H1022,171202,2.8367576120564517
H1023,14266,4.314314441814712
H103,172201,6.151777853828534
H65,168976,6.497842090631654
H1035,171162,3.1327309480070014
H1036,170943,2.516214361563585
H1045,1354693,6.241095031285207
H1048,1249355,2.238560237980974
H105,171102,3.3384305140876327
H1055,1044,6.327817845312268
H1057,1282441,2.554597053030289
H1064,1299758,4.306445416119026
H107,1340296,4.904047551344723
H1070,171043,2.550944527765102
H144,13036,3.286867618645373
H93,169182,15.62554722333132
H111,1351379,7.6661932058064
H11,1360975,10.066658517936373
H110,1363346,9.716312050989671
H1118,1364602,0.840347519656355
H324,160806,1.4061678395571033
H188,1351547,0.28606998031811576
H1133,1218702,1.7519631195713443
H114,1359263,3.7071282997886446
H1150,1348461,0.8160128266475416
H1154,170973,3.281781858655997
H1163,169624,1.9167821364879227
H1200,1310018,0.3998925341934242
H1205,1262443,4.958960555628057
H122,172780,3.567286644317303
H123,1358923,1.1511936653632286
H1233,1361466,1.485641301647966
H1234,1366518,12.933227010435752
H124,1367770,1.3400691661042505
H1240,1239329,1.4671686598568114
H425,1351578,0.5841090727710514
H126,1277576,2.7707982964765376
H1265,172314,2.108499924782996
H127,140717,3.6894160116181514
H1272,1365820,12.829629141526881
H643,1306979,4.09162788394086
H1299,172780,2.076758181701024
H130,1355722,8.311517449360975
H132,14473,9.21902549313631
H1328,1364286,6.530616986463766
H1340,172600,6.276112505582623
H136,173339,5.390208609693532
H1365,169061,1.9469775270474345
H137,1204815,2.828698313577162
H140,171674,8.69362452378466
H725,1306672,2.3294022469620477
H870,1306995,3.4514620347939977
H1436,1215222,5.345910239474755
H1455,1302451,4.089565323127057
H1462,169119,2.349064435302418
H1463,169110,3.0154695651110486
H679,1351470,2.0210657069615015
H1484,1287444,0.8229979777898067
H1522,1357809,0.5910078713911261
H1565,171124,1.5026101193382568
H1566,171042,0.985940349006917
H1596,1298708,2.77374767285095
H1599,170417,3.506735973620717
H1602,170318,2.2880505526496675
H161,1361690,3.176632450134928
H1612,1366572,17.26015748349247
H301,1328145,5.287757788761956
H167,169786,8.543993535667342
H169,1352272,3.353765517933593
H171,1364711,1.275518678700621
H1194,1350895,3.3312010931023606
H1772,1359260,0.8654524484421259
H18,1367165,5.2928708816961105
H1824,1264952,5.061408634831998
H183,1366683,0.451836486022046
H1840,154225,2.401649001332895
H187,170697,5.262313026762141
H1873,1227904,3.152708570605722
H1899,172095,2.64479353305522
H1905,1261693,3.725301912478501
H192,172218,3.576337729293023
H198,170284,10.736526558141644
H201,14402,9.85849503452541
H202,1258783,6.119937983078288
H204,169407,4.2472479695411405
H213,170733,3.3258028400336874
H215,1360275,19.023055177680824
H22,162626,2.166243624239958
H222,1213369,3.9618266562655893
H227,1233427,2.646236362282119
H229,171800,5.489959804877244
H230,1352046,7.630138552173452
H2328,1327871,13.749158959886534
H24,1359426,0.8763787221537251
H2488,1366465,7.91222902606493
H2490,1266759,1.8312087744332881
H25,1307462,3.529085251342136
H250,172313,2.753897106959639
H257,1363870,9.58819220962915
H26,172201,5.669525953890142
H266,1354907,17.578140587187633
H275,143092,4.728518315019633
H277,14393,10.371807197371675
H28,14471,5.696401294776005
H286,1365421,14.149143534984226
H289,1241520,7.119780622852581
H296,1354101,5.593156409522869
H297,1353930,2.3390389613534146
H302,14446,10.420406131660176
H303,14330,9.181575262217917
H310,14596,13.545170784336502
H313,14434,8.04924450161513
H319,146111,3.1909863005576597
H320,1257532,0.7765730088227876
H322,14549,18.844632266459882
H3283,1365985,23.193718857958974
H3306,1361568,12.25810869263067
H3310,1369046,1.3806833829311298
H3314,1358208,6.700121804597284
H3329,172204,4.381183273459416
H3330,172468,16.56266846632291
H334,149828,2.2334348689299617
H3408,1364050,0.37140208619675497
H3413,1354429,4.979271289659234
H346,1220248,3.185317790337851
H349,1339475,8.802691932680773
H359,1217327,3.5359114765837845
H377,1358208,6.500957232504295
H382,1224326,9.43817319929292
H384,171697,4.182780947604093
H392,1234460,3.587245902632384
H394,1356565,14.82741354451739
H402,145615,2.3259777948892935
H406,14434,7.626732514284721
H409,12627,5.99977442807169
H410,172296,2.5544602152247786
H42,172267,4.53306329064198
H434,1344816,4.372137198943794
H435,1353941,4.25792667275581
H439,172388,6.408422660524082
H440,1360003,5.805004344249261
H45,1364637,1.7027582162745496
H456,12097,3.1957735186752467
H465,1256383,4.005005966144558
H47,170466,0.6172057546426778
H475,172876,5.494186651376985
H477,14436,5.963485168795981
H486,14451,5.505827761467472
H496,14455,11.141898152206602
